序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00008,="10:22:03.656",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 40 00 20 00 00 00 00 00 
00009,="10:22:03.663",0x35C3DFD5,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 41 00 20 00 10 00 00 00 
00010,="10:22:15.120",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 60 00 00 00 00 00 00 00 
00011,="10:22:15.122",0x35C59F1E,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 00 00 01 02 03 04 05 06 
00012,="10:22:22.460",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 70 00 00 00 00 00 00 00 
00013,="10:22:22.473",0x35C6BD70,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 10 07 08 09 0A 0B 0C 0D 
00014,="10:23:10.478",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 60 00 00 00 00 00 00 00 
00015,="10:23:10.502",0x35CE0ED1,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 0B 0E 0F 00 00 00 00 00 
00016,="10:23:44.410",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 21 00 20 00 10 00 00 00 
00017,="10:23:44.432",0x35D33A9F,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 60 00 20 00 00 00 00 00 
00018,="10:24:06.122",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 00 21 22 23 24 25 26 27 
00019,="10:24:06.122",0x35D689AD,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 20 00 00 00 00 00 00 00 
00020,="10:24:19.896",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 10 31 32 33 34 35 36 37 
00021,="10:24:19.923",0x35D8A30B,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 30 00 00 00 00 00 00 00 
00022,="10:24:40.120",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 0D 41 42 00 00 00 00 00 
00023,="10:24:40.143",0x35DBB809,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 20 00 00 00 00 00 00 00 
00024,="10:25:15.446",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 40 00 20 00 10 00 00 00 
00025,="10:25:15.453",0x35E11A3E,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 41 00 20 00 10 00 00 00 
00026,="10:25:29.421",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 60 00 00 00 00 00 00 00 
00027,="10:25:29.433",0x35E33B72,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 00 21 22 23 24 25 26 27 
00028,="10:25:34.353",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 70 00 00 00 00 00 00 00 
00029,="10:25:34.353",0x35E3FBE1,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 10 31 32 33 34 35 36 37 
00030,="10:25:39.183",无,ch1,发送,0x0601,数据帧,标准帧,0x08,x| 60 00 00 00 00 00 00 00 
00031,="10:25:39.183",0x35E4B852,ch1,接收,0x0581,数据帧,标准帧,0x08,x| 0B 41 00 00 00 00 00 00 
